,,,,台灣客語詞彙資料庫系統,,,
,,,,,,,
,,,,腔調 :四縣,等級 :中,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ID,序號,客家語,客語音標,華語詞義,英語,例,譯
11,01-001,光線,gongˊ  sien,光線,light,這隻房間个光線毋好，毋適合做書房。,這個房間的光線不好，不適合做書房。
12,01-001,光線,gongˋ sienˇ,光線,light,這隻房間个光線毋好，毋適合做書房。,這個房間的光線不好，不適合做書房。
13,01-002,河溪（天河、河漢）,hoˇ haiˊ(tienˊ hoˇ、hoˇ  han),銀河,a galaxy,今晡日个天時當好，暗晡夜做得看著滿天星斗个河溪。,今天的天氣很好，晚上可以看到滿天星斗的銀河。
14,01-003,日蝕,ngitˋ  siit,日蝕,a solar eclipse,氣象報告講：加兩日做得看得著日蝕个現象。,氣象報告說：再過兩天可以看得到日蝕的現象。
15,01-004,日頭花,ngitˋteuˇfaˊ,縫隙中灑下的陽光,the light that shines through cracks.,趕還有日頭花，衫褲拿出去曬曬啊。,趁還有些許陽光，衣服拿出去曬一曬。
16,01-005,牛郎星,ngiuˇ  longˇ  senˊ,牛郎星,Altair,隔條河溪，在天頂个東南方摎織女星遙遙相對个就係牛郎星。,"隔著銀河,在天空的東南方與織女星遙遙相對的就是牛郎星。"
17,01-006,織女星,ziitˋ  ngˋ  senˊ,織女星,Vega,每當七月七落雨个時節，阿婆就會講這係牛郎星摎織女星兩儕會面个目汁水。,每當七月七日下雨時，祖母就會說這是牛郎星和織女星兩人會面的淚水。
18,01-007,星斗,senˊ  deu ˋ,星斗,a series of stars in the sky,天頂項滿天个星斗，你知哪隻係牛郎星同織女星無？,天上滿天的星斗，你知哪個是牛郎星跟織女星嗎？
19,01-008,星仔,senˊ  eˋ,星星,a star,今晡日个天時當好，日頭落山以後就看得著滿天个星仔。,今天的天氣很好，太陽下山以後就可以看得到滿天的星星。
20,01-009,星仔瀉屎(星仔過江),senˊ eˋ sia  siiˋ（senˊeˋ go  gongˊ）,流星雨,meteor shower,上早个人係看著星仔瀉屎，會想著麼个壞兆頭。,古早的人若是看到流星雨，會想到一些壞兆頭。
21,01-010,星宿,senˊ  siu,星宿,a constellation,上早个人會觀察天頂星宿个變化，來判斷人間个吉凶。,古時候的人會觀察天上的星宿變化，來判斷人間的吉凶。
22,01-011,掃把星,so  baˋ  senˊ,流星,a comet,掃把星毋係逐年就看得著个天象。,流星不是每年都能看得到的天象。
23,01-012,波螺皺風（龍捲風、扭肘風、皺螺風）,boˊloˇziu  fungˊ（liungˇ gienˋfungˊ、ngiuˋziuˋfungˊ、,旋風,a whirl wind,起波螺皺風時，屋仔、樹仔摎車仔全部會分佢捲起來，當得人驚。,刮龍捲風時，屋子、樹木和車子全部都會被捲起來，非常可怕。
24,01-013,風搓,fungˊ caiˊ,颱風,a typhoon,人講：「一雷壓三搓」，看這擺个風搓怕毋會登陸咧。（諺）,俗話說：「一雷壓三颱」，我看這次的颱風可能不會登陸了。
25,01-014,風飛沙,fungˊ  biˊ  saˊ,飛沙,sandy winds,又起風咧，風飛沙恁大，目珠強強就會擘毋開。,又起風了，風沙這麼大，眼睛幾乎睜不開。
26,01-015,風合雨（風合水）,fungˊgakˋ iˋ（fungˊgakˋsuiˋ）,風雨交加,strong wind with heavy rain,這下外背風合雨，愛仰般形轉屋下？,現在外面既颳風又下雨，要怎麼樣回家？
27,01-016,風沙（風飛沙）,fungˊ saˊ（fungˊ biˊsaˊ）,風沙,sands carried by winds,外背个風沙恁大，若係行路騎車愛特別細義。,外面的風沙很大，要是走路騎車要特別留意。
28,01-017,風霜,fungˊsongˊ,風霜,winds and frost,這幾日个風霜當大，菜園肚个菜強強會死忒。,這幾天風霜很大，菜園的菜都快要死掉了。
29,01-018,九降風,giuˋ  gong  fungˊ,九降風,"a gust of wind, speed can be up to 20. Usually appears in the Taiwan Strait, affecting west of Taiwa",尖山个米粉恁球、恁好食，全係好得有九降風來吹燥。,尖山的米粉很Q很好吃，全是幸好有九降風來吹乾。
30,01-019,起風,hi ˋ fungˊ,颳風,winds start to blow.,又起風哩，敢係又過愛落雨？,又起風了，難道又要再下雨？
31,01-020,雷電交加,luiˇ  tien gauˊ gaˊ,雷電交加,a thunder and lightning storm,外背雷電交加，加一下會拚大雨。,外面雷電交加，等一下可能要下大雨。
32,01-021,避雷針,pitˋ luiˇ ziimˊ,避雷針,a lightning rod,這棟樓起到恁高，屋頂愛裝避雷針正會安全。,這棟樓蓋得這麼高，屋頂要裝避雷針才會安全。
33,01-022,燒風,seuˊ  fungˊ,焚風,"a foehn; a warm, dry wind that occurs on the leeward slopes of a ridge of mountains.",這幾日个天時無正常，溫度高又過起燒風。,這幾天的天氣不正常，溫度高且又刮焚風。
34,01-023,燥風（乾燥風）,zauˊfungˊ（gonˊzauˊfungˊ）,乾燥含水氣很少的風,a dry wind with  very little hydrosphere in the air.,這兩日起乾燥風，天時當翕熱。,這兩天颳乾燥風，天氣很悶熱。
35,01-024,轉風頭,zonˋ  fungˊ  teuˇ,轉風向；天氣變冷,a wind changes its direction; temperature drops,阿爸朝晨起來，感覺著較清冷，佢摎講，就會轉風頭咧。,爸爸早上起床，感到較寒冷，他就跟我說，會轉風向了，天氣要變冷了。
36,01-025,放雨白（打雨白）,biong  iˋpak （daˋiˋpak）,颱風前，忽下忽停的驟雨,"a sudden downpour, usually occurs before typhoon comes.",又放雨白仔，風搓強強會到吔。,又下颱風前驟雨了，颱風幾乎就要到了。
37,01-026,發風落雨,botˋ  fungˊ  lok  i ˋ,風雨交加，刮風或下雨,windy and rainy,佢當有信用，就算發風落雨佢乜係會過來。,他很有信用，就算颳風下雨他還是會過來。
38,01-027,打風馳（打風時）,daˋfungˊciiˇ（daˋfungˊsiiˇ）,夏季雷陣雨,a summer thundershower,恁久盡會打風馳，出門愛記得帶遮仔。,最近經常下雷陣雨，出門要記得帶雨傘。
39,01-028,打露,daˋ  lu,承受露水,to be exposed to dew,衫褲愛記得收轉來，毋好放在外背打露。,衣服要記得收回來，不要放在外面被露水沾濕。
40,01-029,漚雨,eu  iˋ,久雨不止,lingering rain,漚雨漚到歸隻月仔，無知哪久正會好天？,整個月久雨不止，不知哪時天氣才會變好？
41,01-030,漚大雨（拚大雨、倒大雨）,eu tai  iˋ（biang tai  iˋ、doˋtai  iˋ）,下大雨,downpour,風搓過啊忒又續等漚大雨，打狗就毋出門。,颱風剛過又連續下大雨，真是打狗都不出門。
42,01-031,落大雨,lok  tai  iˋ,下大雨,to rain very hard,歸日仔落大雨落毋會停，還得人畏哦！,整天下大雨下不停，好可怕哦！
43,01-032,回南,fiˇ  namˇ,颱風過後所刮的南風,the southerly winds of a typhoon,阿松伯講：回南咧，風搓走忒咧。,阿松伯說：颱風回南了，表示颱風已經離開了。
44,01-033,風馳雨（風時水）,fungˊ  ciiˇ  iˋ（fungˊsiiˇsui ˋ）,西北雨,the downpours at a small area in the summer afternoons,氣象報告：最近係落風馳雨个季節，大家出門愛記得帶遮仔。,氣象報告：最近是下西北雨的季節，大家出門要記得帶雨傘。
45,01-034,浩洪斗雨（谿濛斗雨、喊盆大雨、喊頭大雨）,heˊ fungˇ deuˋ  iˋ（heˊmungˇ  deuˋ iˋ、hemˊpunˇtai i,傾盆大雨,to rain cats and dogs,下班个時節堵著浩洪斗雨，一下歸身仔就涿到溚濕。,下班的時候碰到傾盆大雨，一下全身就淋得濕透。
46,01-035,雨毛仔,i ˋ  moˊ  e ˋ,毛毛雨,drizzle,外背落雨毛仔，出門還係愛帶遮仔。,外面下毛毛雨，出門還是要帶把雨傘。
47,01-036,落雪,lok  sietˋ,下雪,to snow,這下係六月天公，哪有可能落雪？,現在是六月季節，哪有可能下雪？
48,01-037,落霜,lok  songˊ,下霜,to frost,這幾暗晡仔連等落霜，阿春嫂種个菜全部打到熟熟。,這幾天晚間連續下霜，阿春嫂種的菜全部被凍得爛爛。
49,01-038,日頭雨（分龍水）,ngitˋ  teuˇ  iˋ（fungˊ liungˇ suiˋ）,太陽雨,Sun rain as a downpour at a small in the bright afternoon while other sides are still bright and dry,人常講：日頭雨，晒死鬼，毋知有影無？（諺）,人常說：太陽雨，晒死鬼，不知道是不是真的？
50,01-039,斷雨腳,tonˊ  iˋ  giokˋ,久雨終於完全停了,discountiunity of the lingering rain,歸隻月雨落無停，到昨晡日正斷雨腳吔。,整個月雨下不停，到昨天雨終於停了。
51,01-040,屋簷水,vukˋ iamˇ  suiˋ,屋簷水,eavesdrop,客家諺語講：屋簷水點點對，上輩對下輩。（諺）,客家諺語說：屋簷水點點對，上輩對下輩。
52,01-041,露水,lu  sui ˋ,露水,dew,車仔牽入來，毋好放在外背打露水。,車子牽進來，不可以放在外面沾露水。
53,01-042,午時水,ngˋ  siiˇ  suiˋ,中午時的雨；端午節中午的水,the rain at noon; the water collected on the Chinese Dragon Boat Day,俗話講：五月節該日食午時水，做得解百毒。毋知有影無？,俗話說：端午節那天吃午時水，可以解百毒。不知道是不是真的？
54,01-043,做大水（發大水）,zo  tai  suiˋ﹙botˋ tai  suiˋ﹚,水災,flooding,發風搓，做大水，買菜毋著來食。,發生颱風，做大水災，買不到菜來吃。
55,01-044,好天好時,hoˋ tienˊ hoˋ siiˇ,好天氣,fair weather,好天好時愛做事就趕緊，毋好透日仔在屋肚囥等。,好天氣要做事就趕緊，不要整天在房子內躲著。
56,01-045,做天旱,zo tienˊ honˊ,鬧旱災,a drought,恁久無落雨，今年驚怕會做天旱。,很久沒有下雨，今年恐怕會做旱災。
57,01-046,半寒熱,ban  honˇngiet,不冷不熱的天氣,neither hot nor cold,像這種半寒熱个天氣，做田事最好。,像這種不冷不熱的天氣，做農事最好。
58,01-047,靗眼（晟眼、瞠眼）,cangˇngienˋ,強光刺眼,dazzling eyes by excessive light,日頭下毋好看書，忒靗眼。,太陽底下不要看書，太刺眼。
59,01-048,壅塵打灰,iungˊ  ciinˇ daˋ  foiˊ,滿佈灰塵,dusty,歸間屋仔壅塵打灰，毋知幾久無清掃吔。,整間房子滿佈灰塵，不知道多久沒有清掃了。
60,01-049,冷颼颼,langˊ siuˇ  siuˇ,冷颼颼,chilly,這幾日冷颼颼仔，天時無幾好，愛細義保養身體。,這幾天冷颼颼的，天氣不很好，要小心保養身體。
61,01-050,涼沁沁,liongˇ  sim  sim,涼涼的,cool,這幾日仔天氣涼沁沁仔，人試著當鬆爽。,這幾天天氣涼涼的，人感到很舒爽。
62,01-051,熱仔,ngiet fok fok eˋ/ ngiet fak fak eˋ,熱烘烘的,very hot,熱天來吔，天時就熱仔。,夏天來了，天氣都熱呼呼的。
63,01-052,寒天（冷天）,honˇ tienˊ（langˊtienˊ）,冬天,winter,寒天到吔，愛著加兜衫，正毋會寒著。,冬天到了，要加穿些衣服，才不會感冒。
64,01-053,熱天,ngiet tienˊ,夏天,summer,熱天來吔，阿爸再三交代兜，去河壩掌牛做毋得搞水。,夏天來了，爸爸再三吩咐我們，去河邊放牛不可以玩水。
65,01-054,天烏地暗（烏天暗地）,tienˊvuˊ  ti  am（vuˊtienˊam  ti）,烏雲密佈,dark and cloudy,你看！天烏地暗，可能黏時就會拚大雨。,你看！天黑地暗，可能隨時就會下大雨。
66,01-055,烏陰,vuˊ  imˊ,陰陰的,cloudy,朝晨烏陰烏陰，下晝天就開吔。,早晨天氣黑黑陰陰的，下午就放晴了。
67,01-056,箭日,zien  ngitˋ,陽光直射,direct sun ray,窗門下恁箭日，莫在該片坐。,窗戶下陽光太直接照射，不要坐在那邊。
68,01-057,彎彎斡斡,vanˊ vanˊ vatˋ vatˋ,彎彎曲曲,winding,該條路彎彎斡斡，駛車愛細義正好。,那條路彎彎曲曲，開車要小心才好。
